Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
blackwood-farm-the-vampire-chronicles,Blackwood Farm (The Vampire Chronicles),"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Anne Rice</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Alfred A. Knopf,,Action and Adventure,"",true,Title,Default Title,,,,,,0.0,,11,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0375411992.01.LZZZZZZZ.jpg?v=1699762886,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
the-hobbit-leatherette-collector-s-edition,The Hobbit (Leatherette Collector's Edition),"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: J. R. R. Tolkien</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Houghton Mifflin Company,,Memoir,"",true,Title,Default Title,,,,,,0.0,,16,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0395177111.01.LZZZZZZZ.jpg?v=1699762884,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
the-book-of-shadows-a-novel,The Book of Shadows: A Novel,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: James Reese</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",William Morrow,,Detective and Mystery,"",true,Title,Default Title,,,,,,0.0,,12,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0066210151.01.LZZZZZZZ.jpg?v=1699762882,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
cerulean-sins-an-anita-blake-vampire-hunter-novel,Cerulean Sins: An Anita Blake; Vampire Hunter Novel,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Laurell K. Hamilton</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Berkley Publishing Group,,Memoir,"",true,Title,Default Title,,,,,,0.0,,3,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0425188361.01.LZZZZZZZ.jpg?v=1699762880,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
sofies-welt,Sofies Welt,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Jostein Gaarder</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Deutscher Taschenbuch Verlag,,Self-Help,"",true,Title,Default Title,,,,,,0.0,,6,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/3423125551.01.LZZZZZZZ.jpg?v=1699762878,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
never-act-your-age-play-the-happy-childlike-role-well-at-every-age,Never Act Your Age: Play the Happy Childlike Role Well at Every Age,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Dale L. Anderson</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Beaver's Pond Press,,Detective and Mystery,"",true,Title,Default Title,,,,,,0.0,,5,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/1931646384.01.LZZZZZZZ.jpg?v=1699762876,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
climbing-mt-shasta-route-1-avalanche-gulch,Climbing Mt. Shasta: Route 1; Avalanche Gulch,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Steve Lewis</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Photografix,,Detective and Mystery,"",true,Title,Default Title,,,,,,0.0,,8,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/1888740051.01.LZZZZZZZ.jpg?v=1699762874,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
forever-peace-remembering-tomorrow,Forever Peace (Remembering Tomorrow),"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Joe Haldeman</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Ace Books,,Detective and Mystery,"",true,Title,Default Title,,,,,,0.0,,15,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0441005667.01.LZZZZZZZ.jpg?v=1699762872,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
20-000-leagues-under-the-sea-wordsworth-collection,20;000 Leagues Under the Sea (Wordsworth Collection),"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Jules Verne</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",NTC/Contemporary Publishing Company,,Literary Fiction,"",true,Title,Default Title,,,,,,0.0,,12,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/1853260312.01.LZZZZZZZ.jpg?v=1699762870,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
south-seas-myths-and-legends-myths-and-legends-series,South Seas Myths and Legends (Myths and Legends Series),"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Donald A. Mackenzie</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Trafalgar Square,,Cookbooks,"",true,Title,Default Title,,,,,,0.0,,4,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0091850401.01.LZZZZZZZ.gif?v=1699762868,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
