id,Variant Inventory Qty,year,Image Src,Body (HTML),Type,Title,author,Vendor,Handle,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code
1,15,2002,http://images.amazon.com/images/P/0195153448.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Mark P. O. Morford</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Fantasy,Classical Mythology,Mark P. O. Morford,Oxford University Press,classical-mythology,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
2,12,2001,http://images.amazon.com/images/P/0002005018.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Richard Bruce Wright</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Horror,Clara Callan,Richard Bruce Wright,HarperFlamingo Canada,clara-callan,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
3,17,1991,http://images.amazon.com/images/P/0060973129.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Carlo D'Este</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Literary Fiction,Decision in Normandy,Carlo D'Este,HarperPerennial,decision-in-normandy,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
4,12,1999,http://images.amazon.com/images/P/0374157065.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Gina Bari Kolata</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",True Crime,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,Farrar Straus Giroux,flu-the-story-of-the-great-influenza-pandemic-of-1918-and-the-search-for-the-virus-that-caused-it,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
5,16,1999,http://images.amazon.com/images/P/0393045218.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: E. J. W. Barber</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Suspense and Thrillers,The Mummies of Urumchi,E. J. W. Barber,W. W. Norton &amp; Company,the-mummies-of-urumchi,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
6,7,1991,http://images.amazon.com/images/P/0399135782.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Amy Tan</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",True Crime,The Kitchen God's Wife,Amy Tan,Putnam Pub Group,the-kitchen-god-s-wife,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
7,8,2000,http://images.amazon.com/images/P/0425176428.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Robert Cowley</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",History,What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,Berkley Publishing Group,what-if-the-world-s-foremost-military-historians-imagine-what-might-have-been,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
8,11,1993,http://images.amazon.com/images/P/0671870432.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Scott Turow</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Classics,PLEADING GUILTY,Scott Turow,Audioworks,pleading-guilty,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
9,3,1996,http://images.amazon.com/images/P/0679425608.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: David Cordingly</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Detective and Mystery,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,David Cordingly,Random House,under-the-black-flag-the-romance-and-the-reality-of-life-among-the-pirates,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
10,4,2002,http://images.amazon.com/images/P/074322678X.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Ann Beattie</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Short Stories,Where You'll Find Me: And Other Stories,Ann Beattie,Scribner,where-you-ll-find-me-and-other-stories,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
11,14,1988,http://images.amazon.com/images/P/0771074670.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: David Adams Richards</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",True Crime,Nights Below Station Street,David Adams Richards,Emblem Editions,nights-below-station-street,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
12,6,2000,http://images.amazon.com/images/P/080652121X.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Adam Lebor</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Science Fiction,Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust,Adam Lebor,Citadel Press,hitler-s-secret-bankers-the-myth-of-swiss-neutrality-during-the-holocaust,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
13,13,2004,http://images.amazon.com/images/P/0887841740.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Sheila Heti</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Horror,The Middle Stories,Sheila Heti,House of Anansi Press,the-middle-stories,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
14,11,1999,http://images.amazon.com/images/P/1552041778.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: R. J. Kaiser</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Historical Fiction,Jane Doe,R. J. Kaiser,Mira Books,jane-doe,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
15,2,1998,http://images.amazon.com/images/P/1558746218.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Jack Canfield</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Self-Help,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,Health Communications,a-second-chicken-soup-for-the-woman-s-soul-chicken-soup-for-the-soul-series-,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
16,17,1998,http://images.amazon.com/images/P/1567407781.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Loren D. Estleman</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Fantasy,The Witchfinder (Amos Walker Mystery Series),Loren D. Estleman,Brilliance Audio - Trade,the-witchfinder-amos-walker-mystery-series-,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
17,3,1999,http://images.amazon.com/images/P/1575663937.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Robert Hendrickson</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Action and Adventure,More Cunning Than Man: A Social History of Rats and Man,Robert Hendrickson,Kensington Publishing Corp.,more-cunning-than-man-a-social-history-of-rats-and-man,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
18,2,1994,http://images.amazon.com/images/P/1881320189.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Julia Oliver</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Suspense and Thrillers,Goodbye to the Buttermilk Sky,Julia Oliver,River City Pub,goodbye-to-the-buttermilk-sky,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
19,5,1999,http://images.amazon.com/images/P/0440234743.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: John Grisham</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Short Stories,The Testament,John Grisham,Dell,the-testament,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
